Time,CPU,GPU Temp,GPU,RAM
2,16.9,32,2.3,86.1
3,11.8,32,2.3,86.0
4,24.9,32,2.3,86.2
5,21.3,32,2.3,86.4
6,8.4,32,2.3,86.4
7,5.3,32,2.3,86.4
8,3.3,32,2.3,86.4
9,12.5,32,2.3,86.3
10,9.4,32,2.3,86.5
11,17.2,32,2.3,86.6
12,11.3,32,2.3,86.6
13,13.4,32,2.3,86.6
14,12.9,32,2.3,86.6
15,15.7,32,2.3,86.6
16,16.2,32,2.3,85.4
17,9.2,32,2.3,85.4
18,4.6,32,2.3,85.4
19,5.3,32,2.3,85.4
20,11.3,32,2.3,85.3
21,8.2,32,2.3,85.4
22,9.9,32,2.3,85.4
23,13.7,32,2.3,85.5
24,30.0,32,2.3,85.6
25,17.5,32,2.3,85.6
26,11.7,32,2.3,85.6
27,10.1,32,2.3,85.6
28,8.5,32,2.3,85.5
29,8.6,32,2.3,85.5
30,5.4,32,2.3,85.4
31,9.0,32,2.3,85.4
32,8.1,32,2.3,85.4
33,7.5,32,2.3,85.9
34,6.8,32,2.3,85.2
